OBJECTID,Name & Size,Drive Time Start (MINUTES),Drive Time End (MINUTES),Facility: Name,Facility: DISTRICT,Facility: CountyNum,Facility: COUNTY,Facility: FeatureTyp,Facility: AccessType,Facility: O_PUBLIC,Facility: FEE,Facility: LATITUDE,Facility: LONGITUDE,Facility: Photo_1,Facility: Photo_2,Facility: Photo_3,Facility: Photo_4,Facility: Breaks,Facility: AdditionalTime,Facility: AdditionalDistance,Shape_Length,Shape_Area,Sum TOTPOP_CY,Sum PCI_FY,Sum HISPPOP_CY,Sum NHSPWHT_CY
69,Oak Knoll Creek Beach : 0 - 15,0,15,Oak Knoll Creek Beach,3_Central Coast,10,San Luis Obispo,Physical Access,Beach Access,Yes,No,35.651796,-121.220783,https://www.coastal.ca.gov/access-photos/11_san_luis_obispo/02_Ragged_Point_to_Hearst_Castle/Oak_Knoll_Creek_Beach_2005_03_29_0035.jpg,https://www.coastal.ca.gov/access-photos/11_san_luis_obispo/02_Ragged_Point_to_Hearst_Castle/Oak_Knoll_Creek_Beach_2013_11_24_0859.jpg, , ,,0,0,1.27864276417843,0.00192064751760662,2731,128319,745,1884
70,Fanshell Beach : 0 - 15,0,15,Fanshell Beach,3_Central Coast,9,Monterey,Physical Access,Beach Access,Yes,No,36.582087,-121.969213, , , , ,,0,0,0.740577826791378,0.00464177707707983,42541,2587613,4990,32274
71,Carmel River State Beach (Ribera Road) : 0 - 15,0,15,Carmel River State Beach (Ribera Road),3_Central Coast,9,Monterey,Physical Access,Beach Access,Yes,No,36.556819,-121.928134, , , , ,,0,0,2.1676484381797,0.0103177024092128,87579,3646464,23013,50148
72,4th Avenue Beach Access (Carmel) : 0 - 15,0,15,4th Avenue Beach Access (Carmel),3_Central Coast,9,Monterey,Physical Access,Beach Access,Yes,No,36.556819,-121.928134, , , , ,,0,0,2.1676484381797,0.0103177024092128,87579,3646464,23013,50148
73,Moss Beach (17-Mile Drive) : 0 - 15,0,15,Moss Beach (17-Mile Drive),3_Central Coast,9,Monterey,Physical Access,Beach Access,Yes,No,36.609673,-121.948132, , , , ,,0,0,1.13044237679998,0.00678040546030283,60405,3182814,10017,42234
74,Point Pinos : 0 - 15,0,15,Point Pinos,3_Central Coast,9,Monterey,Physical Access,Beach Access,Yes,No,36.637089,-121.93552, , , , ,,0,0,0.799542203221748,0.00460155501826654,49085,2702632,7504,34883
75,Bonny Doon Beach : 0 - 15,0,15,Bonny Doon Beach,3_Central Coast,8,Santa Cruz,Physical Access,Beach Access,Yes,No,37.000593,-122.182069,https://www.coastal.ca.gov/access-photos/09_santa_cruz/02_santa_cruz_county_north/Bonny_Doon_Beach_2013_11_17_9755.jpg, , , ,,0,0,2.40310859480949,0.00724075259638882,35121,1165086,7160,22277
76,Twin Lakes State Beach : 0 - 15,0,15,Twin Lakes State Beach,3_Central Coast,8,Santa Cruz,Physical Access,Beach Access,Yes,No,36.961187,-121.997891,https://www.coastal.ca.gov/access-photos/09_santa_cruz/06_santa_cruz_east/Twin_Lakes_State_Beach_SFS_2011_05_01_9541.jpg, , , ,,0,0,2.52473655882712,0.010884467819347,129794,5306479,27252,87523
77,Pescadero State Beach (South) : 0 - 15,0,15,Pescadero State Beach (South),2_North Central,7,San Mateo,Physical Access,Beach Access,Yes,No,37.259719,-122.413536, , , , ,,0,0,2.51450458523802,0.00539265608808188,693,42086,296,342
78,Stairway at Sea Crest Hotel : 0 - 15,0,15,Stairway at Sea Crest Hotel,3_Central Coast,10,San Luis Obispo,Physical Access,Beach Access,Yes,No,35.147487,-120.650018, , , , ,,0,0,3.63559018885568,0.0231164880826183,95883,2505459,20778,66377
79,Stairway at Shore Cliff Lodge : 0 - 15,0,15,Stairway at Shore Cliff Lodge,3_Central Coast,10,San Luis Obispo,Physical Access,Beach Access,No,No,35.149718,-120.654287, , , , ,,0,0,3.57521067418552,0.024016251802423,101946,2597489,21587,70829
80,Leadbetter Beach : 0 - 15,0,15,Leadbetter Beach,4_South Central Coast,11,Santa Barbara,Physical Access,Beach Access,Yes,Yes,34.400825,-119.700651,https://www.coastal.ca.gov/access-photos/12_santa_barbara/06_Santa_Barbara_West/Leadbetter_Beach_2013_08_15_6584.jpg,https://www.coastal.ca.gov/access-photos/12_santa_barbara/06_Santa_Barbara_West/Leadbetter_Beach_2013_08_15_6592.jpg,https://www.coastal.ca.gov/access-photos/12_santa_barbara/06_Santa_Barbara_West/Leadbetter_Beach_from_Shoreline_Park_2013_08_15_6580.jpg, ,,0,0,2.17187650632636,0.0136797370806289,159372,7282623,59610,84365
81,East Beach : 0 - 15,0,15,East Beach,4_South Central Coast,11,Santa Barbara,Physical Access,Beach Access,Yes,No,34.416648,-119.67134,https://www.coastal.ca.gov/access-photos/12_santa_barbara/06_Santa_Barbara_West/Chase_Palm_Park_2005_09_01_0021.jpg,https://www.coastal.ca.gov/access-photos/12_santa_barbara/07_Santa_Barbara_Central/East_Beach_2013_08_15_6608.jpg,https://www.coastal.ca.gov/access-photos/12_santa_barbara/07_Santa_Barbara_Central/East_Beach_2013_11_22_0153.jpg, ,,0,0,2.45262586635735,0.0151917335107922,165586,7468061,62472,87316
82,Poche Beach : 0 - 15,0,15,Poche Beach,5_South Coast,14,Orange,Physical Access,Beach Access,Yes,Yes,33.440618,-117.64511,https://www.coastal.ca.gov/access-photos/15_orange/13_San_Clemente/Poche_Beach_2007_09_17_0109.jpg, , , ,,0,0,2.8408223092531,0.0157214795181085,218660,8903863,48502,144601
83,Westward Beach : 0 - 15,0,15,Westward Beach,4_South Central Coast,0,Los Angeles,Physical Access,Beach Access,Yes,No,34.011998,-118.817892,https://www.coastal.ca.gov/access-photos/14_los_angeles/03_Point_Dume/Westward_Bch_toward_Zuma_Bch_2007_03_04_0137.jpg,https://www.coastal.ca.gov/access-photos/14_los_angeles/03_Point_Dume/Westward_Beach_2013_11_02_9010.jpg, , ,,0,0,2.24373952079301,0.00891222510389254,10727,645762,856,8914
84,Del Mar Bluffs City Park : 0 - 15,0,15,Del Mar Bluffs City Park,6_San Diego,15,San Diego,Physical Access,Beach Access,Yes,Yes,32.976851,-117.269564,https://www.coastal.ca.gov/access-photos/16_san_diego/07_Solana_Beach_to_Del_Mar/Del_Mar_Bluffs_City_Park_2013_09_27_7782.jpg,https://www.coastal.ca.gov/access-photos/16_san_diego/07_Solana_Beach_to_Del_Mar/Del_Mar_Bluffs_City_Park_2013_09_27_7789.jpg, , ,,0,0,2.495995934459,0.0212167207553132,252686,9749819,29411,156487
85,Cardiff State Beach : 0 - 15,0,15,Cardiff State Beach,6_San Diego,15,San Diego,Physical Access,Beach Access,Yes,Yes,33.002893,-117.278454, , , , ,,0,0,2.6324162504114,0.0205502197581571,242261,9398332,28533,158206
86,Torrey Pines State Beach : 0 - 15,0,15,Torrey Pines State Beach,6_San Diego,15,San Diego,Physical Access,Beach Access,Yes,Yes,32.936163,-117.261389,https://www.coastal.ca.gov/access-photos/16_san_diego/08_Torrey_Pines/Torrey_Pines_State_Beach_2013_09_27_7807.jpg,https://www.coastal.ca.gov/access-photos/16_san_diego/08_Torrey_Pines/Torrey_Pines_State_Beach_2013_09_27_7809.jpg, , ,,0,0,2.99412536666925,0.0207930652044171,291648,11181788,40110,170412
87,South Ponto Beach : 0 - 15,0,15,South Ponto Beach,6_San Diego,15,San Diego,Physical Access,Beach Access,Yes,Yes,33.086492,-117.312963,https://www.coastal.ca.gov/access-photos/16_san_diego/05_South_Carlsbad_and_Encinitas/South_Ponto_Beach_SFS_2013_09_27_7721.jpg,https://www.coastal.ca.gov/access-photos/16_san_diego/05_South_Carlsbad_and_Encinitas/South_Ponto_Beach_SFS_2013_09_27_7736.jpg, , ,,0,0,2.77099921531138,0.0233089487424343,303725,10939423,66637,197832
88,Stairway to Beach (Cerezo Dr.) : 0 - 15,0,15,Stairway to Beach (Cerezo Dr.),6_San Diego,15,San Diego,Physical Access,Beach Access,Yes,No,33.128751,-117.333344, , , , ,,0,0,2.41821688772642,0.0278829662068914,423201,11883111,130398,237903
89,Pebble Beach Access : 0 - 15,0,15,Pebble Beach Access,1_North Coast,1,Del Norte,Physical Access,Beach Access,Yes,No,41.75604,-124.22061, , , , ,,0,0,2.56480958807811,0.00829676451686692,15855,275196,2610,10566
90,Malpaso Beach Trail : 0 - 15,0,15,Malpaso Beach Trail,3_Central Coast,9,Monterey,Physical Access,Beach Access,Yes,No,36.482434,-121.938424, , , , ,,0,0,2.27480798606843,0.00484387086681917,25516,1470509,3889,18398
91,Carmel City Beach : 0 - 15,0,15,Carmel City Beach,3_Central Coast,9,Monterey,Physical Access,Beach Access,Yes,No,36.554756,-121.930081,https://www.coastal.ca.gov/access-photos/10_monterey/09_carmel_area/Carmel_City_Beach_SFS_2010_11_15_9048.jpg, , , ,,0,0,2.05732509202618,0.00918714728078771,79506,3393817,20779,46543
92,Stillwater Cove : 0 - 15,0,15,Stillwater Cove,3_Central Coast,9,Monterey,Physical Access,Beach Access,Yes,No,36.56648,-121.942669,https://www.coastal.ca.gov/access-photos/10_monterey/08_17_mile_drive/Stillwater_Cove_2013_05_16_3780.jpg, , , ,,0,0,1.28044848614429,0.00646387423558119,53173,2725387,9334,36645
93,San Carlos Beach Park : 0 - 15,0,15,San Carlos Beach Park,3_Central Coast,9,Monterey,Physical Access,Beach Access,Yes,No,36.610502,-121.896317,https://www.coastal.ca.gov/access-photos/10_monterey/06_monterey_and_cannery_row/San_Carlos_Beach_Park_2013_11_25_1029.jpg,https://www.coastal.ca.gov/access-photos/10_monterey/06_monterey_and_cannery_row/San_Carlos_Beach_Park_2013_11_25_1030.jpg,https://www.coastal.ca.gov/access-photos/10_monterey/06_monterey_and_cannery_row/San_Carlos_Beach_Park_2013_11_25_1035.jpg, ,,0,0,2.03479364862849,0.0113432766861929,102304,3895810,28287,54566
94,Aeneas Beach : 0 - 15,0,15,Aeneas Beach,3_Central Coast,9,Monterey,Physical Access,Beach Access,Yes,No,36.611853,-121.897483,https://www.coastal.ca.gov/access-photos/10_monterey/06_monterey_and_cannery_row/Aeneas_Beach_SFS_2010_06_12_5767.jpg, , , ,,0,0,1.95531536810724,0.0107247899923652,99563,3826112,27535,53483
95,McAbee Beach : 0 - 15,0,15,McAbee Beach,3_Central Coast,9,Monterey,Physical Access,Beach Access,Yes,No,36.615616,-121.899383,https://www.coastal.ca.gov/access-photos/10_monterey/06_monterey_and_cannery_row/McAbee_Beach_2013_11_25_1024.jpg,https://www.coastal.ca.gov/access-photos/10_monterey/06_monterey_and_cannery_row/McAbee_Beach_SFS_2010_06_12_5773.jpg, , ,,0,0,1.7960741900291,0.00999057976755891,95106,3743242,26050,51975
96,Monterey State Beach (Window on the Bay) : 0 - 15,0,15,Monterey State Beach (Window on the Bay),3_Central Coast,9,Monterey,Physical Access,Beach Access,Yes,No,36.600898,-121.883192, , , , ,,0,0,2.96828825625616,0.0166066674213238,113636,4216809,30797,60352
97,Eolian Dunes Preserve : 0 - 15,0,15,Eolian Dunes Preserve,3_Central Coast,9,Monterey,Physical Access,Beach Access,Yes,No,36.618335,-121.851661, , , , ,,0,0,3.06733416192336,0.0176026866716078,118760,4235528,35225,60619
98,Davenport Landing Beach : 0 - 15,0,15,Davenport Landing Beach,3_Central Coast,8,Santa Cruz,Physical Access,Beach Access,Yes,No,37.024521,-122.216356,https://www.coastal.ca.gov/access-photos/09_santa_cruz/02_santa_cruz_county_north/Davenport_Landing_Bch_2013_05_15_3712.jpg, , , ,,0,0,2.38350785271468,0.00399232317000719,6600,274620,993,4601
99,Laguna Creek Beach : 0 - 15,0,15,Laguna Creek Beach,3_Central Coast,8,Santa Cruz,Physical Access,Beach Access,Yes,No,36.981762,-122.155295,https://www.coastal.ca.gov/access-photos/09_santa_cruz/02_santa_cruz_county_north/Laguna_Crk_Bch_2010_09_08_7003.jpg, , , ,,0,0,2.21221582719001,0.00747802494284905,53244,1833395,11909,32728
100,Piggy Beach : 0 - 15,0,15,Piggy Beach,3_Central Coast,8,Santa Cruz,Physical Access,Beach Access,Yes,No,36.977887,-122.147092,https://www.coastal.ca.gov/access-photos/09_santa_cruz/03_wilder_ranch_to_natural_bridges/Piggy_Beach_SFS_2015_01_17_9333_1.jpg,https://www.coastal.ca.gov/access-photos/09_santa_cruz/03_wilder_ranch_to_natural_bridges/Piggy_Beach_SFS_2015_01_17_9334_2.jpg,https://www.coastal.ca.gov/access-photos/09_santa_cruz/03_wilder_ranch_to_natural_bridges/Piggy_Beach_SFS_2015_01_17_9338_3.jpg, ,,0,0,2.1323145784512,0.00744090463151621,55553,1954162,12355,34333
101,Red White and Blue Beach : 0 - 15,0,15,Red White and Blue Beach,3_Central Coast,8,Santa Cruz,Physical Access,Beach Access,No,Yes,36.976507,-122.142476, , , , ,,0,0,2.0623360807619,0.00745189951641214,57748,2073835,12808,35825
102,Three Mile Beach : 0 - 15,0,15,Three Mile Beach,3_Central Coast,8,Santa Cruz,Physical Access,Beach Access,Yes,No,36.961727,-122.113472,https://www.coastal.ca.gov/access-photos/09_santa_cruz/03_wilder_ranch_to_natural_bridges/Three_Mile_Bch_Wilder_Ranch_SP_2010_09_08_6973.jpg, , , ,,0,0,2.37194707926501,0.00793393381915628,77668,2952875,17508,48870
103,De Anza Mobile Home Park Access : 0 - 15,0,15,De Anza Mobile Home Park Access,3_Central Coast,8,Santa Cruz,Physical Access,Beach Access,Yes,No,36.954496,-122.062287, , , , ,,0,0,2.16606543141745,0.00690465257753509,102142,3874280,23332,65132
104,Mitchell's Cove Beach : 0 - 15,0,15,Mitchell's Cove Beach,3_Central Coast,8,Santa Cruz,Physical Access,Beach Access,Yes,No,36.952516,-122.041556, , , , ,,0,0,2.25748290729395,0.00826945390979374,117662,4561944,26080,76477
105,Stairway at Surfers Memorial : 0 - 15,0,15,Stairway at Surfers Memorial,3_Central Coast,8,Santa Cruz,Physical Access,Beach Access,Yes,No,36.952728,-122.025646, , , , ,,0,0,1.8932870228271,0.00811439089604465,117524,4575160,26139,76334
106,Stairway to Beach (Pelton Ave.) : 0 - 15,0,15,Stairway to Beach (Pelton Ave.),3_Central Coast,8,Santa Cruz,Physical Access,Beach Access,Yes,No,36.954788,-122.024721, , , , ,,0,0,1.97610948990097,0.00874427594520095,120612,4713142,26535,78720
